id	effectiveTime	active	moduleId	refsetId	referencedComponentId	mapTarget
84695d57-af54-5c01-b111-8328101dfd94	20210131	1	816211006	816210007	14357004	10023041
849a1b5f-223c-5822-aacc-283a1ea9983a	20210131	1	816211006	816210007	80068009	10042701
84a3ef7e-bb5b-5c3d-8c0c-8ad11bcc1d10	20210131	1	816211006	816210007	442095009	10057681
84b174db-461c-5a73-afdf-2df14f2d4886	20210131	1	816211006	816210007	846686009	10022080
84be614c-ca65-5796-8891-6b9fe8c3ac16	20210131	1	816211006	816210007	88230002	10031173
84dd1ba6-eaa6-59e3-b471-90df637a90b4	20210131	1	816211006	816210007	300909004	10001722
84de39f8-8d92-5130-879c-96cdf4d18a61	20210131	1	816211006	816210007	778031009	10042857
84e5dc2d-b614-5149-a6ec-3981f8b3e447	20210131	1	816211006	816210007	232721002	10044675
84f03d19-086d-5aa4-8e76-d8b316d4bcd9	20230131	0	816211006	816210007	88937006	10054825
84f51f64-cea4-5433-8f89-52a482ab4a1c	20210131	1	816211006	816210007	75543006	10008108
84f65f91-3746-5b20-ad4f-64b5ccb58805	20210131	1	816211006	816210007	448542008	10069002
84fe409d-1c57-59be-afde-02aed348bfcc	20210131	1	816211006	816210007	708164002	10051790
850254e6-b337-5d56-aa30-01c08014da7c	20210131	1	816211006	816210007	129609000	10057660
8514a015-330f-5a44-b8bd-31484033d99b	20230131	1	816211006	816210007	1651000119109	10052747
851d22c4-0844-57bf-b437-bbcebe88f556	20220131	0	816211006	816210007	254828009	10024627
8526be2a-85a5-55b7-b452-ef3bcf19bb34	20210131	1	816211006	816210007	415690000	10042661
852873a3-8593-5ee2-9365-8888d9ada6c9	20210131	1	816211006	816210007	52967002	10028537
8534ab01-6bc4-5a05-901f-2b5170cbfdf7	20210131	1	816211006	816210007	596004	10051537
853ed4a2-c2ef-5d18-9bf1-31a9e95b4f68	20210131	1	816211006	816210007	366667001	10040914
853fa315-8f70-5f64-b3cc-63057824ecd9	20210131	1	816211006	816210007	448765001	10068329
8540945a-76b3-55e3-b210-d55d2b2d962c	20210131	1	816211006	816210007	103715008	10052916
855bc49c-0385-5814-8f82-370d0ed72670	20210131	1	816211006	816210007	21545007	10066371
8580cd5a-8953-5aad-908e-1c9c8ec06188	20210131	1	816211006	816210007	187192000	10044272
858be4aa-ae68-55d9-99cb-1c1aaecf45a2	20210131	1	816211006	816210007	162068007	10000060
859839ed-5400-5cb7-8958-a47541a0605d	20210131	1	816211006	816210007	95606005	10026922
859c16e8-81d4-53a3-ac6f-a55bd02a4601	20210131	1	816211006	816210007	111975006	10037703
